comuna,tipo_cliente,consumo_mensual,coord_x,coord_y
Las Condes,INDUSTRIAL,1063.79,-70.654644,-33.452739
Las Condes,INDUSTRIAL,808.34,-70.590308,-33.415299
Las Condes,INDUSTRIAL,730.83,-70.540642,-33.599019
Las Condes,RESIDENCIAL,133.4,-70.549797,-33.51623
Las Condes,INDUSTRIAL,752.98,-70.559111,-33.485082
Las Condes,COMERCIAL,309.0,-70.535544,-33.57133
Las Condes,RESIDENCIAL,118.08,-70.68063,-33.532929
Las Condes,INDUSTRIAL,1276.76,-70.695978,-33.511018
Las Condes,INDUSTRIAL,1585.94,-70.522662,-33.422951
Las Condes,RESIDENCIAL,145.3,-70.648577,-33.557172
Las Condes,INDUSTRIAL,1319.6,-70.615669,-33.585858
Las Condes,COMERCIAL,415.34,-70.684264,-33.461146
Las Condes,COMERCIAL,273.8,-70.63592,-33.446805
Las Condes,RESIDENCIAL,203.61,-70.567608,-33.417839
Las Condes,INDUSTRIAL,1048.16,-70.712446,-33.455551
Las Condes,INDUSTRIAL,883.32,-70.558021,-33.515095
Las Condes,RESIDENCIAL,149.35,-70.527486,-33.544883
Las Condes,RESIDENCIAL,156.97,-70.587673,-33.469635
Las Condes,RESIDENCIAL,30.76,-70.735259,-33.549253
Las Condes,COMERCIAL,328.91,-70.57802,-33.545508
Las Condes,RESIDENCIAL,128.32,-70.671803,-33.537493
Las Condes,COMERCIAL,282.92,-70.500938,-33.444234
Las Condes,RESIDENCIAL,150.57,-70.684075,-33.430543
Las Condes,COMERCIAL,374.22,-70.539298,-33.542742
Las Condes,INDUSTRIAL,1146.09,-70.707177,-33.466291
Las Condes,INDUSTRIAL,826.56,-70.510414,-33.514373
Las Condes,COMERCIAL,52.32,-70.7058,-33.467988
Las Condes,RESIDENCIAL,46.29,-70.595424,-33.456541
Las Condes,COMERCIAL,433.39,-70.633652,-33.581981
Las Condes,RESIDENCIAL,209.49,-70.542542,-33.517408
Las Condes,INDUSTRIAL,952.65,-70.684657,-33.547882
Las Condes,INDUSTRIAL,1363.99,-70.634675,-33.467845
Las Condes,COMERCIAL,213.28,-70.714924,-33.419588
Las Condes,COMERCIAL,397.66,-70.668268,-33.433531
Las Condes,RESIDENCIAL,228.71,-70.59058,-33.511524
Las Condes,COMERCIAL,372.78,-70.624593,-33.50086
Las Condes,COMERCIAL,209.67,-70.66453,-33.567706
Las Condes,COMERCIAL,295.57,-70.700967,-33.536591
Las Condes,INDUSTRIAL,1605.5,-70.551172,-33.458803
Las Condes,INDUSTRIAL,939.3,-70.554605,-33.589288
Las Condes,COMERCIAL,340.92,-70.682326,-33.559677
Las Condes,INDUSTRIAL,1005.26,-70.606979,-33.585812
Las Condes,COMERCIAL,288.84,-70.652066,-33.462328
Las Condes,INDUSTRIAL,1206.54,-70.540152,-33.534207
Las Condes,RESIDENCIAL,180.04,-70.724877,-33.487442
Las Condes,INDUSTRIAL,953.54,-70.545975,-33.457664
Las Condes,RESIDENCIAL,152.76,-70.707309,-33.423764
Las Condes,INDUSTRIAL,1122.03,-70.504023,-33.580157
Las Condes,COMERCIAL,315.47,-70.656806,-33.513272
