comuna;consumo_diurno;consumo_nocturno;tipo_cliente;socioeconomico;evento_anomalo;eficiencia_energetica
Santiago;132.2327544670176;88.15516964467841;RESIDENCIAL;alto;;medio
Santiago;129.82320894786653;86.54880596524436;RESIDENCIAL;alto;;medio
Santiago;293.7734846845793;195.84898978971955;COMERCIAL;bajo;;bajo
Santiago;354.1927594603888;236.12850630692589;COMERCIAL;alto;;medio
Santiago;81.82704395675584;54.55136263783724;RESIDENCIAL;alto;;alto
Santiago;278.28940849357684;185.52627232905124;INDUSTRIAL;medio;;bajo
Santiago;99.87138196109422;66.58092130739615;RESIDENCIAL;bajo;;alto
Santiago;262.05324185591917;174.70216123727946;COMERCIAL;medio;;alto
Santiago;381.29372294313316;254.1958152954221;COMERCIAL;medio;;medio
Santiago;184.40106105754563;122.93404070503044;COMERCIAL;bajo;;alto
Santiago;286.04115728063607;190.6941048537574;COMERCIAL;alto;;alto
Santiago;245.3583585587872;163.57223903919146;COMERCIAL;bajo;;alto
Santiago;128.66994665594737;85.77996443729826;RESIDENCIAL;medio;;alto
Santiago;312.0404477914803;208.0269651943202;COMERCIAL;alto;;bajo
Santiago;285.24162793997385;190.16108529331592;COMERCIAL;medio;;medio
Santiago;103.14090867608972;68.76060578405982;RESIDENCIAL;alto;;bajo
Santiago;217.89460290385364;145.2630686025691;INDUSTRIAL;medio;;medio
Santiago;277.4220675082313;184.94804500548756;INDUSTRIAL;alto;;alto
Santiago;114.85429166604669;76.56952777736447;RESIDENCIAL;alto;;medio
Santiago;89.23931293725389;59.4928752915026;RESIDENCIAL;bajo;;alto
Santiago;311.24232332688797;207.49488221792532;COMERCIAL;alto;;medio
Santiago;292.85360931177615;195.23573954118413;INDUSTRIAL;alto;;medio
Santiago;258.9756399220788;172.6504266147192;COMERCIAL;medio;;bajo
Santiago;291.8401762727246;194.56011751514976;COMERCIAL;medio;;medio
Santiago;131.45640951112333;87.6376063407489;RESIDENCIAL;bajo;;alto
Santiago;114.2220006911424;76.14800046076161;RESIDENCIAL;alto;;bajo
Santiago;325.79823725568866;217.19882483712578;INDUSTRIAL;bajo;;medio
Santiago;293.56164404024463;195.70776269349642;COMERCIAL;alto;;bajo
Santiago;85.70619343145516;57.13746228763678;RESIDENCIAL;medio;;alto
Santiago;161.9431770207983;107.96211801386553;RESIDENCIAL;bajo;;medio
Santiago;66.19318588586532;44.128790590576884;RESIDENCIAL;medio;;alto
Santiago;254.15693622238567;169.43795748159047;COMERCIAL;medio;;alto
