coord_x;coord_y;comuna;clave_tarifa;consumo_mensual
-70.68863501183682;-33.48291978840216;Vitacura;RESIDENCIAL;325
-70.69751720561698;-33.47270117412676;Vitacura;NO_RESIDENCIAL;252
-70.69347329858472;-33.48817106212587;Vitacura;NO_RESIDENCIAL;253
-70.69884530589152;-33.48010570691925;Vitacura;NO_RESIDENCIAL;328
-70.68311215443336;-33.48784429995992;Vitacura;RESIDENCIAL;155
-70.67053487452417;-33.48512388352693;Vitacura;RESIDENCIAL;150
-70.67070016495772;-33.47978761852521;Vitacura;NO_RESIDENCIAL;335
-70.69302052369414;-33.473729379715415;Vitacura;NO_RESIDENCIAL;377
-70.6820763780018;-33.475451157484216;Vitacura;RESIDENCIAL;184
-70.67925826412711;-33.48895065124622;Vitacura;RESIDENCIAL;374
-70.68695068827884;-33.478166535811205;Vitacura;NO_RESIDENCIAL;237
-70.67975936461684;-33.47288988966094;Vitacura;NO_RESIDENCIAL;178
-70.68261879141313;-33.47289919206861;Vitacura;RESIDENCIAL;345
-70.67102860247904;-33.475916597011675;Vitacura;RESIDENCIAL;358
-70.69973886207015;-33.48535148932302;Vitacura;NO_RESIDENCIAL;210
-70.68108026247715;-33.48400799154159;Vitacura;NO_RESIDENCIAL;372
-70.6824380251216;-33.48366493705794;Vitacura;NO_RESIDENCIAL;370
-70.69308518963027;-33.4882947681575;Vitacura;RESIDENCIAL;292
-70.69097771283734;-33.48755512973704;Vitacura;NO_RESIDENCIAL;154
-70.68412275003448;-33.482251805496645;Vitacura;NO_RESIDENCIAL;194
-70.67120568222235;-33.48546356974353;Vitacura;RESIDENCIAL;308
-70.68411274816698;-33.479239891283335;Vitacura;RESIDENCIAL;373
-70.68787387158578;-33.483052818532435;Vitacura;RESIDENCIAL;252
-70.69427824656609;-33.48056742445591;Vitacura;NO_RESIDENCIAL;346
-70.6981276849648;-33.4833782350081;Vitacura;RESIDENCIAL;281
-70.69996730135661;-33.479377758027425;Vitacura;NO_RESIDENCIAL;219
-70.6959992256183;-33.4783232082536;Vitacura;RESIDENCIAL;203
-70.69443100954715;-33.47707227581179;Vitacura;RESIDENCIAL;196
-70.69201778127106;-33.47720859654472;Vitacura;NO_RESIDENCIAL;358
-70.67650436725721;-33.48386087963175;Vitacura;NO_RESIDENCIAL;258
-70.67839161995418;-33.48681932178352;Vitacura;RESIDENCIAL;235
-70.67917886782845;-33.47515077660849;Vitacura;RESIDENCIAL;249
-70.6773348270249;-33.484291486967955;Vitacura;RESIDENCIAL;351
-70.67605845810013;-33.475918265261726;Vitacura;RESIDENCIAL;302
-70.68001818039298;-33.473028262519975;Vitacura;NO_RESIDENCIAL;211
-70.68176314446104;-33.48236663487974;Vitacura;NO_RESIDENCIAL;224
-70.67927699597044;-33.480452421900225;Vitacura;NO_RESIDENCIAL;188
-70.69634087573432;-33.48932359290266;Vitacura;RESIDENCIAL;175
-70.6802489005022;-33.489582098945895;Vitacura;RESIDENCIAL;163
-70.67612770127168;-33.47503151235157;Vitacura;NO_RESIDENCIAL;232
-70.68118310265794;-33.47543108240567;Vitacura;NO_RESIDENCIAL;317
-70.69128227018423;-33.481059090604624;Vitacura;NO_RESIDENCIAL;269
-70.6776202254251;-33.47275404679458;Vitacura;RESIDENCIAL;313
-70.69252543213368;-33.47421388760665;Vitacura;RESIDENCIAL;311
-70.69559948454307;-33.47632955020702;Vitacura;RESIDENCIAL;363
-70.67349741061034;-33.47765848946824;Vitacura;RESIDENCIAL;239
-70.68966919464356;-33.475432839065334;Vitacura;RESIDENCIAL;286
-70.68610401782712;-33.47899891068255;Vitacura;RESIDENCIAL;339
-70.68677835561598;-33.47041574283965;Vitacura;NO_RESIDENCIAL;395
-70.68388888368828;-33.48585019155447;Vitacura;RESIDENCIAL;300
