comuna;consumo_diurno;consumo_nocturno;tipo_cliente;socioeconomico;evento_anomalo;eficiencia_energetica
Ñuñoa;328.43568643736063;218.95712429157376;INDUSTRIAL;bajo;;medio
Ñuñoa;127.8439716141505;85.22931440943368;RESIDENCIAL;medio;;bajo
Ñuñoa;126.82784509747378;84.55189673164921;RESIDENCIAL;bajo;;medio
Ñuñoa;90.82074034055758;60.54716022703839;RESIDENCIAL;alto;;alto
Ñuñoa;224.1036222457205;149.40241483048032;COMERCIAL;bajo;;medio
Ñuñoa;380.7706072826482;253.84707152176549;INDUSTRIAL;alto;;bajo
Ñuñoa;300.89043573033814;200.59362382022545;COMERCIAL;bajo;;bajo
Ñuñoa;253.71039923601148;169.140266157341;INDUSTRIAL;medio;;alto
Ñuñoa;280.4636382530203;186.97575883534688;INDUSTRIAL;medio;;bajo
Ñuñoa;142.21129765227178;94.80753176818119;RESIDENCIAL;medio;;bajo
Ñuñoa;229.5954555196635;153.063637013109;COMERCIAL;alto;;alto
Ñuñoa;312.95879861086786;208.63919907391193;COMERCIAL;alto;;bajo
Ñuñoa;311.15079632452364;207.4338642163491;INDUSTRIAL;bajo;;medio
Ñuñoa;274.1092005864256;182.73946705761708;INDUSTRIAL;bajo;;bajo
Ñuñoa;118.88714026927215;79.25809351284812;RESIDENCIAL;alto;;alto
Ñuñoa;227.75608110320263;151.8373874021351;INDUSTRIAL;bajo;;alto
Ñuñoa;125.46462249208733;83.64308166139156;RESIDENCIAL;alto;;bajo
Ñuñoa;305.39028127793665;203.5935208519578;INDUSTRIAL;medio;;medio
Ñuñoa;237.89661634848588;158.59774423232395;COMERCIAL;alto;;alto
Ñuñoa;237.29014586238645;158.19343057492432;INDUSTRIAL;medio;pico;alto
Ñuñoa;269.16791290624764;179.4452752708318;INDUSTRIAL;alto;;medio
Ñuñoa;244.03063690815964;162.68709127210644;COMERCIAL;alto;;alto
Ñuñoa;255.26400387137278;170.17600258091522;COMERCIAL;bajo;;medio
Ñuñoa;69.24337753980987;46.162251693206585;RESIDENCIAL;bajo;;medio
Ñuñoa;308.57727533762693;205.718183558418;COMERCIAL;bajo;;bajo
Ñuñoa;299.6017250656271;199.73448337708473;INDUSTRIAL;bajo;;bajo
Ñuñoa;277.6445515587719;185.09636770584797;INDUSTRIAL;alto;;medio
Ñuñoa;231.5287267691161;154.3524845127441;INDUSTRIAL;medio;;alto
Ñuñoa;272.96241897333937;181.97494598222625;INDUSTRIAL;bajo;;alto
