nro_medidor;comuna;clave_tarifa;coord_x;coord_y;semana_1;semana_2;semana_3;semana_4
10001;Ñuñoa;RESIDENCIAL;-70.6513907137662;-33.46736599821534;30;34;47;51
10009;Ñuñoa;RESIDENCIAL;-70.65281800211379;-33.44600352564521;66;47;42;79
100013;Ñuñoa;RESIDENCIAL;-70.65031695916707;-33.44887667058278;98;93;64;65
100016;Ñuñoa;NO_RESIDENCIAL;-70.66627854901202;-33.458456194152106;62;57;60;72
100018;Ñuñoa;RESIDENCIAL;-70.65638791556968;-33.447534633209976;84;92;96;71
100022;Ñuñoa;RESIDENCIAL;-70.65600586126783;-33.458331310003125;35;65;64;62
100023;Ñuñoa;RESIDENCIAL;-70.66945513816428;-33.45251405805714;39;80;61;34
100025;Ñuñoa;NO_RESIDENCIAL;-70.67425501574114;-33.44887798178762;47;55;97;93
100027;Ñuñoa;RESIDENCIAL;-70.65328316639587;-33.46419087976741;79;100;94;82
100034;Ñuñoa;RESIDENCIAL;-70.66015547960033;-33.46469098270323;64;67;56;68
100037;Ñuñoa;NO_RESIDENCIAL;-70.66948468340497;-33.45365917887992;72;54;36;99
100040;Ñuñoa;NO_RESIDENCIAL;-70.66972731173912;-33.444151119119766;96;87;37;41
100044;Ñuñoa;RESIDENCIAL;-70.65357586476215;-33.44782378996433;60;41;54;51
100047;Ñuñoa;NO_RESIDENCIAL;-70.67463483270741;-33.44887201247217;33;73;33;82
100048;Ñuñoa;NO_RESIDENCIAL;-70.66788740886483;-33.46903122058868;98;70;60;49
100051;Ñuñoa;NO_RESIDENCIAL;-70.66626711232512;-33.44742422775724;74;87;38;40
100055;Ñuñoa;NO_RESIDENCIAL;-70.66534352272309;-33.45589324848341;35;53;37;92
100063;Ñuñoa;RESIDENCIAL;-70.65294113980272;-33.447358446228336;42;91;83;37
100067;Ñuñoa;NO_RESIDENCIAL;-70.66807758768184;-33.46568237407817;56;97;47;88
100070;Ñuñoa;NO_RESIDENCIAL;-70.67248872979393;-33.45372661561704;42;89;32;46
100071;Ñuñoa;RESIDENCIAL;-70.6723368183589;-33.44191642365289;55;34;59;59
100072;Ñuñoa;NO_RESIDENCIAL;-70.668497288859;-33.464954489038526;71;54;32;77
100074;Ñuñoa;RESIDENCIAL;-70.6506133815231;-33.45173575034085;85;33;55;38
100082;Ñuñoa;RESIDENCIAL;-70.66644296655592;-33.45016546944026;43;33;86;74
100085;Ñuñoa;NO_RESIDENCIAL;-70.6531465313341;-33.44728586395807;79;84;66;54
100098;Ñuñoa;RESIDENCIAL;-70.66496873331634;-33.461355753285005;36;42;86;38
